,AW,D,MP,BP,AMP,ABP,S,H,HF,HV,Cs,Cm,K,TE,D.1,MV,H2,H1,M1,M2,M3,VEC,P,Eea,I1,I2,I3,C,R,Rm,Rc,A1,A2,A3,SGN,NCS,NMA,AN,SEN,∆AW,∆D,∆MP,∆BP,∆AMP,∆ABP,∆S,∆H,∆HF,∆HV,∆Cs,∆Cm,∆K,∆TE,∆D.1,∆MV,∆H2,∆H1,∆M1,∆M2,∆M3,∆VEC,∆P,∆Eea,∆I1,∆I2,∆I3,∆C,∆R,∆Rm,∆Rc,∆A1,∆A2,∆A3,∆SGN,∆NCS,∆NMA,∆AN,∆SEN,T_ex,Ra_ex,M_Co,Cn_Co,E corr (V)
283,25.777700864949995,1.9045779,650.286918,1233.2579,923.3013930000001,1506.2579,32.662976,4.9862314,8.841589999999998,144.3191,998.2399999999999,24.776812409114797,165.16340000000002,2.454518e-05,1.7322838999999999,1.36470893e-05,261.0559,2.522175,47.763,17.9774,47.622,2.1045,1.3377609999999998,4.164750000000001,723.20005,1482.20295,7214.164379999999,24113060.0,4.770279999999111e-08,142.8977,139.5755,328.29135099999996,328.29135099999996,511.188917,196.74970000000002,0.0904099,0.0027565090000000003,12.5925,8.085899999999999,117.5826832682094,0.47560316513159007,596.7141239612763,201575.33498759003,596.4430948095512,201575.33498759003,14.540148483424003,0.09304979025404,0.42986377189999997,2538.51987519,9251.6704,0.05177449182953031,660.14470044,3.1226327676000002e-12,0.42224245090079,1.8661948347255107e-12,381.57537519,0.005052019375,86.66063100000001,11.573289240000001,80.476716,0.10937975000000001,0.008399196879,162.61923243750005,2614.6514109975014,12780.818740297498,2320785.2130112154,22685221436400.0,3.416437472160068e-15,72.95283471,67.62169975,608.4181192847988,608.4181192847988,1151.791714677112,77.67984990999999,0.012478120681989998,7.2243322022919e-05,18.981243749999997,0.78052119,0,0.0,0,0.899685110211426,-1.5125
592,25.572048572,1.9199920000000001,653.7145999999999,1100.145,926.7176,1373.145,32.86725,5.01342,8.73102,129.097,999.16,24.823936053987996,157.3401,2.48602e-05,1.7398600000000002,1.3836895499999999e-05,261.929,2.54325,46.391,18.830199999999998,48.17399999999999,2.026,1.3189899999999997,0.007110000000000001,740.3651,1456.194,7587.9439999999995,22607060.0,6.449799999999052e-08,145.295,140.69899999999998,327.9787299999999,327.9787299999999,525.47749,194.392,0.256922,0.00021641,12.552999999999999,8.264999999999999,45.083047004369924,0.977742735936,5776.9301648400005,13289.499975,5775.52549824,13289.499975,1.8112593375000006,0.010081827599999992,0.2988145596,112.63559099999999,11812.990399999999,0.036511841906610776,331.26370199,7.232559599999999e-13,0.7208443164,1.43861674632975e-12,537.553959,0.15906693749999998,86.04211900000001,148.36384796000002,375.49772400000006,0.051324,0.0032682798999999984,0.016800147900000006,633.1243519899998,1890.8810039999987,568524.1217039999,7184835356400.0,3.1059399996000383e-14,10.623975,10.856399,4407.837009287101,4407.837009287101,1780.2145101998997,9.606335999999999,2.262141901916,8.648374118999998e-07,8.563191000000002,2.2547750000000004,0,0.0,2,0.0,-1.524
644,34.354687597,2.327206,696.8221,1370.8929999999998,969.8370999999999,1643.893,34.844390000000004,5.251215999999999,8.970999999999997,155.426,947.0169999999999,25.671878041588,155.4631,2.3613699999999997e-05,2.125268,1.3970711499999998e-05,276.778,2.7171,47.775,18.729,49.038999999999994,2.166,1.33342,7.325,714.8068,1466.9919000000002,6829.348899999999,22666760.0,1.3511799999999183e-07,148.748,142.854,332.65352999999993,332.65352999999993,515.47741,196.859,3430.1239710000004,0.5138131,15.949,8.184999999999999,1156.5413446076006,2.7852895915639997,30183.91837659,434638.225551,30182.10296859,434638.225551,85.66485482789999,1.1427013193439999,0.4838340000000001,3917.296524,43344.804711000004,10.986087098180093,2125.32240839,1.577442231e-11,2.436937990176,4.252776026517749e-12,4014.0767159999996,0.47942558999999996,105.344375,44.637558999999996,156.853479,0.14444400000000002,0.009727303600000004,283.90687499999996,3529.0846737600023,18114.91256439,3943996.4004987897,56593647302400.0,1.0941984807600151e-13,594.5004960000001,247.93468400000003,1630.7842292391001,1630.7842292391001,1829.2826609919007,79.903119,156304250.09450957,3.4663773162333897,177.522399,1.110775,0,0.0,0,0.619990257295957,-1.41
8,32.89733305425,2.251538,619.596261,1237.4566,892.611591,1510.4566000000002,33.916093,5.084325700000001,8.564007,143.5763,935.1899,24.886648596842,154.0385,2.4537380000000002e-05,2.0772999000000003,1.4432821000000001e-05,241.722,2.3989000000000003,45.7976,17.16282,45.5841,2.1725000000000003,1.360045,9.209361,730.9845200000002,1445.16533,7165.17947,22149200.0,4.901449999999113e-08,146.16910000000001,141.48520000000002,328.2251100000001,349.68930000000006,525.7523830000001,190.9718,0.132118,0.0004350460000000001,15.5235,8.917,673.7344865386336,2.5741318745559996,14919.44035054988,189937.62871644003,14909.508191978719,189937.62871644,12.499881625351003,0.06293207941950994,0.2778723339509998,2191.96077831,54036.92703799,0.07967210522064444,789.6920177500001,1.0978027356e-12,2.3977264831599907,4.898586661959001e-12,3715.7157159999997,0.08847879000000002,53.586034240000004,10.9306376476,69.65212719,0.30474375,0.036811747974999996,866.8999770416791,1260.2796643696006,5177.2120969911,2201121.751913519,18764649360000.0,3.365302897500983e-16,79.13430518999999,45.26878096,1768.2399855879007,6564.533225909999,482.8026498313103,257.56780476,0.03624384607600001,9.280034797883998e-06,109.96544775000001,8.329111,0,0.0,0,0.613,-1.522
465,26.24719985,2.0499039999999997,642.1972000000001,1226.3680000000002,915.2181999999999,1499.368,32.60924,4.980036,8.84568,144.194,982.3419999999999,24.7751709164,165.98000000000002,2.4840999999999998e-05,1.862128,1.3415266e-05,264.394,2.5235,49.044,18.9208,49.97,2.1,1.35298,4.25474,728.1322,1497.9934000000003,7072.2814,24272000.0,4.27799999999918e-08,142.27800000000002,138.31,327.6388,327.6388,508.48652000000004,197.16199999999998,0.12221400000000002,0.00310854,12.835999999999999,8.4,64.9280456348582,1.1625951427839998,2148.1513881600004,187257.90057600001,2146.0257747600012,187257.90057600001,5.276395022400001,0.039114222704,0.4517285376,2464.952364,16207.077036,0.029512359327344806,593.9395999999999,1.466219e-12,0.9797056276159999,2.4856786552440007e-12,944.650764,0.006822750000000001,106.314064,31.634847360000002,197.8091,0.09,0.011968919599999999,162.53342133240002,3656.9976231600003,14539.860896440001,2675976.50155404,22394016000000.0,4.0111599999992384e-17,70.652716,49.6539,892.6790085599998,892.6790085599998,1220.7519866896012,88.023756,0.042667840204,8.03579328684e-05,12.489104,3.8400000000000003,0,0.0,1,0.0,-1.55
232,25.378944999999995,1.8591010000000001,651.87654,1103.3010000000002,924.87924,1376.3010000000002,32.86293,5.012522000000001,8.7372,130.09799999999998,1004.914,24.80431998,158.595,2.48017e-05,1.694828,1.3897249e-05,264.686,2.5124999999999997,45.425,17.548,46.244,2.01,1.3162200000000002,0.20550000000000002,740.2486000000001,1454.8833,7634.9319,22789000.0,4.6149999999990404e-08,145.251,140.828,319.9712,319.9712,520.5729,193.99999999999997,0.08227100000000001,0.0001109,12.463999999999999,8.190000000000001,51.606206191974984,0.624511064799,8212.6991738284,55504.690399,8211.444900222401,55504.690399,1.6081913151000002,0.009021289515999996,0.78787116,1018.5763960000002,9714.864603999999,0.007424036277519554,120.670975,2.3489271099999998e-12,0.524073962416,4.1187663099899994e-13,1154.4134040000001,0.031093750000000003,11.194375,13.147696,72.31446399999999,0.0199,0.0020441115999999984,8.40381975,553.4078580399996,1583.292131109999,416238.86069238995,2725279000000.0,7.063075000000467e-16,18.703998999999996,12.248415999999999,52.45340955999997,52.45340955999997,12.49165159000003,8.077935669463161e-28,0.019058475559000004,5.09419e-09,9.536704,1.7839,350,7.7,1,0.0,-1.438
290,30.626113800000002,2.00846,716.8850000000001,1278.0,989.8850000000001,1551.0,34.08105,5.09907,8.865,147.995,957.0100000000001,24.949522022400004,147.845,2.3578000000000004e-05,1.8495100000000002,1.4495685e-05,283.035,2.6559500000000003,44.525,17.615,46.27,2.085,1.3011499999999998,2.8220000000000005,724.9920000000001,1425.5905,7245.9705,21195000.0,8.975999999999086e-08,150.60500000000002,145.33,324.6789,324.6789,534.6009,194.00000000000003,0.882245,0.0002978,14.610000000000001,8.07,467.9455768718416,0.8669940684000002,51307.331775000006,381209.25,51307.331775000006,381209.25,30.843174397499993,0.12865179509999994,0.5214750000000004,4415.214975000001,42855.6399,0.28044298491393305,1590.420975,1.6087116000000002e-11,0.8456124998999999,2.824415825775001e-12,7000.6437750000005,0.43737309750000003,3.4293750000000003,5.306775000000001,23.897100000000002,0.07777500000000001,0.0009221775000000016,90.86751600000001,1793.7144360000011,7029.124659750002,2550497.1134797498,35072175000000.004,2.2601582400000844e-14,338.628975,203.3211,150.4977207900001,150.4977207900001,6516.97657719,8.077935669463161e-28,35.354963394975,1.7598321599999994e-06,78.77790000000002,0.0651,0,0.0,0,0.619990257295957,-1.6544
68,24.807638538899997,1.8462863578,654.9534658980001,1225.8971047999999,927.962575783,1498.8971048000003,32.350423832000004,4.963100819399999,8.897220359999999,143.4485828,1004.03980836,24.765460077358558,166.480072,2.4612561029999998e-05,1.6712615724,1.3698976237579999e-05,257.61844260000004,2.53015795,47.853948499999994,18.141210899999997,47.651801500000005,2.0981319999999997,1.335370481,3.8522787599999995,721.94765802,1481.29560248,7241.55327957,24311366.400000002,4.853407269999094e-08,143.04997200000003,139.4892149,332.81000748499997,332.81000748499997,512.453131859,197.1449469,0.13468373030000003,0.0028262048000000004,12.2120883,8.020659,6.71194112258852,0.20551202319801043,1723.4096907833111,170464.85787257782,1724.211759036092,170464.85787257782,2.3021774782064366,0.02232609655784859,0.4080697136014704,2252.455403071544,3451.1947419984745,0.025139892503204683,572.715090874816,3.2641968352533926e-13,0.12728875018867955,2.730290106220504e-12,112.78576075050523,0.05851322305179749,107.70702145934774,49.22843958172118,148.32907630459775,0.09676611057599999,0.008535306483828642,148.54580902925287,2249.633821901131,11932.362169341817,2147572.777243266,20886649164951.04,9.699588533851197e-15,83.246226799216,44.14797828161799,2276.943690265194,2276.943690265194,1716.2997291367901,86.93935089618037,0.7010358246953768,7.329847363845696e-05,1.33827165300311,0.10616320571900001,0,0.0,0,0.087,-1.511
641,28.278579596999997,2.032496,694.2121,1332.443,967.2271,1605.443,32.95079,5.011975999999999,9.014999999999999,155.636,965.5169999999999,24.850597057588,158.74309999999997,2.3981699999999998e-05,1.8509479999999998,1.3851231499999998e-05,276.37800000000004,2.6579999999999995,48.065,18.829,49.289,2.146,1.33662,5.305,718.0228,1473.1059,6943.702899999999,23162860.0,7.349799999999164e-08,145.938,141.45399999999998,331.85733,331.85733,514.07381,196.85899999999998,0.18923099999999998,0.0028445999999999996,13.658999999999999,8.165,213.20554527648153,0.7606833779840002,38020.48763859,382419.74475099996,38018.75053059,382419.74475099996,9.323685675899997,0.07026545342399998,0.7042500000000003,4887.903504,29179.125711,0.1661196299329374,1612.7060723900001,9.99291511e-12,0.6435546832960001,3.521636316157751e-12,5374.539116,0.32991099999999995,101.02077499999999,46.58175899999999,165.821479,0.13068400000000002,0.009125175600000002,178.227475,3156.4812801600015,16026.764415189999,3483698.8207615893,44558069820400.0,2.02584859960005e-14,290.038156,159.46588400000002,1617.3336279710998,1617.3336279710998,1717.8123293839005,79.903119,0.597129381639,7.314382083999999e-05,37.534719,1.097775,0,0.0,0,0.619990257295957,-1.41
407,40.899643,2.6116959,724.620481,1346.1064000000001,997.624636,1619.1064,36.985697,5.487416300000001,8.866155,149.9627,910.2346,26.285800492,141.2895,2.310803e-05,2.4041082,1.4525179599999998e-05,293.3254,2.81107,44.872,18.3622,47.9841,2.1229999999999998,1.3069680000000001,5.88495,725.48359,1425.7150700000002,6945.1943599999995,20206880.0,1.8929149999999175e-07,155.22340000000003,146.8967,324.30514500000004,324.30514500000004,526.83853,194.0,5586.0850874,0.832303585,18.552599999999998,8.4,1806.382245889551,4.4775156516231895,52548.087174258646,516786.48167904,52545.552478347505,516786.48167904,126.88134837419096,1.7013488929943095,0.8963407659750001,4010.7575087100004,70850.73976283999,16.891366570538214,2309.61168975,2.6622854519100002e-11,3.952183505492761,4.346475908343838e-12,6780.24851484,0.7198870551,22.994616,20.871611159999997,114.61444718999999,0.116871,0.004574126975999999,257.96880849749994,3055.722519711902,10717.231789895102,3697501.4489261904,51441011265600.0,1.593719085277524e-13,795.29189244,325.28062910999995,278.2896309789752,278.2896309789752,359.0572676390995,0.0,242509653.4333854,5.3823307612735976,277.82223324,2.742,400,15.0,0,0.619990257295957,-1.525
565,33.995126,2.1481,781.4,1428.25,1054.3999999999999,1701.25,34.4295,5.143800000000001,9.105,165.79999999999998,911.7,25.046526047999997,138.55,2.2669999999999998e-05,1.9824,1.486855e-05,309.2,2.875,44.4,18.349999999999998,47.85,2.15,1.2965,4.44,717.0450000000001,1410.095,6869.795,19820000.0,1.228999999999915e-07,155.05,148.35,327.51,327.51,528.877,194.0,0.24555,0.00017350000000000002,16.05,8.15,532.0917374099639,0.9530313900000003,97840.43999999999,648340.6875,97840.43999999999,648340.6875,17.54309474999999,0.12045995999999988,0.9294750000000007,8096.76,66463.70999999999,0.36970730731575707,2607.2475,2.5709099999999995e-11,0.8994278399999999,4.433762647500002e-12,13716.96,0.796875,2.04,10.327499999999999,46.027499999999996,0.1275,0.0010327500000000018,111.7104,2417.5644750000015,9343.007475000002,4219428.554475,57303600000000.0,3.527619000000135e-14,572.3475,306.1275,244.60110000000012,244.60110000000012,344.49485099999873,0.0,0.18883884750000002,3.061275e-08,92.9475,0.1275,0,0.0,0,0.10058844238797,-1.46
