,AW,D,MP,BP,AMP,ABP,S,H,HF,HV,Cs,Cm,K,TE,D.1,MV,H2,H1,M1,M2,M3,VEC,P,Eea,I1,I2,I3,C,R,Rm,Rc,A1,A2,A3,SGN,NCS,NMA,AN,SEN,∆AW,∆D,∆MP,∆BP,∆AMP,∆ABP,∆S,∆H,∆HF,∆HV,∆Cs,∆Cm,∆K,∆TE,∆D.1,∆MV,∆H2,∆H1,∆M1,∆M2,∆M3,∆VEC,∆P,∆Eea,∆I1,∆I2,∆I3,∆C,∆R,∆Rm,∆Rc,∆A1,∆A2,∆A3,∆SGN,∆NCS,∆NMA,∆AN,∆SEN,T_ex ,Ra_ex,R_ex,EL
126,23.878884150650002,1.7035833999999999,623.0206440000001,1188.7264,896.0380889999999,1461.7264,32.417598000000005,4.9680358,8.30201,138.38549999999998,1228.1822,24.804943465259598,153.3674,2.638081e-05,1.5548663,1.3872532699999999e-05,244.6141,2.3804149999999997,42.8615,16.282680000000003,42.51606000000001,1.9571999999999998,1.288415,6.902010000000001,711.89883,1968.09017,7855.02532,22051860.0,5.610799999999132e-08,147.19439999999997,140.05509999999998,326.682793,326.682793,503.67493700000006,197.95489999999998,6.2869137,0.0028858630000000002,11.6662,7.4913,91.90065455469393,0.26940056504444,30585.316715025267,134653.22494304,30574.04057037808,134653.22494304,3.749860670395999,0.03170518951836002,2.9112829598999994,1707.5080897499997,533551.70880316,0.04997268837145181,931.24541724,4.00313647439e-11,0.22842516522431,1.0844145731307106e-12,6082.30538119,0.401144677775,124.48531775000001,17.4176680176,158.10031607640002,0.13016815999999998,0.011780117775000005,328.77737895990003,4508.248885631101,2725717.5955043714,2680148.8423348973,25245338540400.0,4.425073136000211e-15,129.03160864,63.13346399,280.081746089151,280.081746089151,2657.472284016032,119.19666599000001,401.08885305285236,5.9997539915231e-05,18.44217756,2.90332431,0,0.0,33.3,19.42
673,30.6234985,2.2288476,620.0953089999999,1157.8996,893.108704,1430.8996,33.592887000000005,5.0619678,8.56205,135.695,955.0636999999999,24.862080873,153.7939,2.487468e-05,2.0501238,1.39049243e-05,255.63189999999997,2.4503,46.6361,18.0793,47.7433,2.0993999999999997,1.355769,5.33281,742.93425,1459.9576299999999,7340.223789999999,22071570.0,4.7874199999991285e-08,144.8812,140.14819999999997,318.647105,331.81710799999996,523.12093,191.36589999999998,0.1317481,0.00012278999999999998,14.6014,8.892999999999999,469.82944949799776,2.45770519677424,9895.81121136452,110337.16551984,9887.642780560385,110337.16551984,8.820482475231001,0.04196365496315996,0.19677379749999985,1248.321375,43647.47464231,0.05477903256064769,454.69962279000003,1.5388068975999997e-12,2.219666713873561,1.1691499645695103e-12,3066.7838023900003,0.04722991,30.472476789999998,25.654411510000006,150.88920511,0.18891964000000003,0.02348120863899999,543.7716505039001,1141.6928079374993,3152.068119783099,1588364.7008210355,10166154735100.0,2.1039377436007942e-16,0.34228656,13.768836760000001,112.52466776897495,3416.954635276335,215.09779773509956,132.66881719,0.053277686446390006,7.9966159e-09,77.82991804000001,8.132551,250,50.0,3.75,23.1
844,25.809344999999997,1.9135399999999998,643.0059600000001,1085.0199999999998,916.0107599999999,1358.0199999999998,33.01471,5.022694,8.654699999999998,127.739,997.616,24.81402758,158.345,2.49659e-05,1.745925,1.3887532e-05,264.585,2.4970000000000003,45.803,17.799300000000002,46.929,2.0,1.3198,0.015090000000000001,742.5338,1458.5837000000001,7597.125499999999,22762100.0,4.473799999999067e-08,145.126,140.554,320.06024999999994,320.06024999999994,520.49743,194.09300000000002,0.09959500000000002,0.0001156,12.654000000000002,8.319999999999999,63.752293795975,0.9053840283999998,1699.1958732784003,1302.6396,1697.0512010224008,1302.6396,3.5711329159000007,0.017621610363999993,0.05773790999999997,2.766879,13835.724544,0.016807873564543552,95.335975,9.214671899999998e-13,0.7711836093750001,1.8574703249759996e-12,744.252775,0.002991,19.358191,21.34954951,125.809959,0.0,0.0039919599999999975,0.07567499190000002,993.6021775599993,2941.6023443099984,507030.28209975,1797673590000.0,2.8843356000023375e-17,16.700124000000002,20.101084,342.15472743749996,342.15472743749996,44.88485649510004,2.874351,0.036950920974999996,6.716640000000001e-09,11.968283999999999,3.0976,300,56.0,0.5,19.8
261,27.11427218135,1.9996318000000002,647.0380410000002,1251.3335,920.054601,1524.3335000000002,32.656760000000006,4.984825999999999,8.84945,146.37050000000002,984.5051000000001,24.7944332816404,162.92450000000002,2.4564310000000002e-05,1.8205019,1.3669433399999998e-05,257.23940000000005,2.524075,48.227199999999996,18.3192,48.208800000000004,2.1335000000000006,1.3505890000000003,5.793559999999999,724.34653,1481.3174300000003,7151.9931,23753930.0,5.121639999999126e-08,143.1165,139.3932,329.383166,334.603469,513.8227370000001,195.60100000000003,0.14177710000000002,0.0026171299999999996,13.142499999999998,8.293,204.7795712794575,0.9778041648287599,8749.505687692319,217210.31007775,8746.8670098408,217210.31007775,5.4599329824,0.03672098852399999,0.4780486974999999,2785.4566297499996,19081.12837399,0.055759834016021866,813.26096975,1.5977032239e-12,0.85318524919639,1.809640354414441e-12,1597.39068764,0.09231414437499999,94.47858015999999,42.38011136000001,144.33000256,0.16107775,0.015246643078999998,347.7266505264,2283.397293959101,11207.672913195098,2523562.3223403897,25958719755100.0,8.709159171040127e-15,80.31372775,45.49759376,1523.2403327564436,2762.4534252160383,1573.8886958388314,134.22019899999998,0.54354042021559,6.816094406309999e-05,33.83899375,2.724151,0,0.0,2.0,8.23
603,28.805598722399996,2.2244317999999996,634.106049,1114.9806999999998,907.117944,1387.9807,33.418062,5.052111300000001,8.629915,131.2133,961.645,24.858425117529602,154.42252,2.50525e-05,2.0287794000000003,1.36636353e-05,265.0134,2.5158,47.4889,19.6056,50.4323,2.0548,1.3447840000000002,1.90994,747.36123,1467.9471600000002,7364.55867,22168732.0,6.10348999999915e-08,144.9691,139.77669999999998,323.017351,327.734173,524.115412,193.27740000000003,0.2637653,0.000208175,13.9082,8.841,251.15217421560845,2.4261085355487597,9535.2447501796,51180.17492751,9529.139844732865,51180.17492751,6.707510304156001,0.03411575031230998,0.3530138427749999,543.05380311,35446.607775,0.05491137636299001,443.91870084960004,1.9613917499999994e-12,2.03427019773564,1.84274813189391e-12,2212.60522044,0.13515036,89.25107678999998,136.64904864000002,439.75501670999995,0.10659695999999999,0.013972933343999992,201.28869119639998,1675.9999238870987,4673.659693934397,1401177.2083468311,9770429752176.0,2.3044092081990306e-14,3.01014519,20.81463711,3300.5881416327993,4482.71088283607,1417.7413694302556,54.55644924,1.7134453424159102,6.46433919375e-07,43.610372760000004,7.462719000000001,350,25.0,3.0,70.7
221,26.62573642645,1.9399357000000002,655.3494210000001,1224.2565,928.3636110000001,1497.2565000000002,32.876674,4.9995891,8.863224999999998,143.0805,993.6828,24.8269315115108,164.1994,2.4515139999999998e-05,1.7675109,1.3692869399999999e-05,262.32160000000005,2.5067670000000004,47.79109999999999,18.0116,47.6987,2.102,1.336654,4.4422500000000005,722.05173,1479.3041299999998,7190.09363,23960930.0,5.533769999999116e-08,143.9413,139.93,328.52056,328.52056,540.799295,196.3183,84.4541634,0.069933905,12.926900000000002,8.069,234.10886788553992,0.6925900969655099,2893.828459654759,168562.93870774997,2893.473016530679,168562.93870775,21.68872309772399,0.11820709366118996,0.33730484937499994,2192.35861975,12952.87858416,0.3281573207109725,795.72623964,2.4671747804e-12,0.6373437224811902,2.072692058543641e-12,642.24257344,0.021502937711,81.50266079000001,10.87346544,75.27311831,0.091596,0.008260484284000003,174.4245399375,2736.0050470071014,13553.332597943101,2420703.6896604225,25915936535100.0,1.13816926587102e-14,186.55525430999998,82.8867,606.1770741864,606.1770741864,64097.35108235298,90.11638511,490650.51093132736,0.311075189929701,37.21415638999999,0.6852389999999999,0,0.0,3.75,7.91
734,31.4092622272,2.3672604,633.6699929999999,1168.669,906.6850080000002,1441.6689999999999,33.767169,5.0771496,8.62066,137.05560000000003,937.9621000000001,24.895087552152802,151.08695999999998,2.485606e-05,2.1672738000000007,1.37681862e-05,263.5561,2.5187000000000004,47.730700000000006,19.7191,50.716499999999996,2.1071999999999997,1.357661,4.47367,745.35859,1464.44437,7209.51559,21671906.0,6.76887999999918e-08,145.6036,140.2038,323.51178300000004,333.87289200000004,526.013988,192.15310000000002,0.28919809999999996,0.00021632599999999997,14.965,9.0594,449.34192004963006,2.9903038689918398,20501.880469869953,142281.32463900003,20493.25132467994,142281.32463900003,10.099385855439,0.05181067101983995,0.4848526643999999,1628.9623086400002,50615.02226359,0.09618468750801171,775.8680599584001,4.0717552764e-12,2.5720726450335603,2.3311385232795605e-12,4156.05565279,0.21755031,92.55157750999999,138.61119518999996,443.20972774999996,0.19350816000000004,0.02194039907899999,438.3918197311,1892.811854211899,5464.014092303098,2059129.551349952,17119884447164.0,2.5950772554560405e-14,44.89006704,44.15206556,3380.052176230911,5908.010722956335,1537.2071283958555,111.60506038999999,1.7576229572563902,6.60420701724e-07,75.941975,9.142071640000001,360,25.0,3.75,20.0
868,29.902410999999997,1.999272,675.4200599999999,1187.186,948.4203599999998,1460.186,34.26643,5.131332,8.738399999999997,136.49699999999999,981.4079999999998,25.110289668,153.157,2.4115499999999996e-05,1.8356489999999999,1.4282689999999999e-05,266.485,2.5342,44.63299999999999,17.1633,45.247,2.0479999999999996,1.3040800000000001,2.17949,730.1044,1435.5549,7465.1497,21987100.0,8.283199999999052e-08,148.44,143.55999999999997,323.45318999999995,323.45318999999995,535.58391,194.09300000000002,981.046449,0.14632034,14.225999999999999,8.047999999999998,643.1674191460788,1.3991443180160001,16860.7403913964,209054.69540400003,16860.586902270403,209054.69540400003,54.935872755099986,0.4237046077759999,0.6938004400000002,1864.981991,29012.961536000003,3.3970144690135866,931.324351,1.042888975e-11,1.298958679799,2.6486099298999994e-12,1790.9997750000002,0.19742636000000002,5.578310999999999,3.2257631100000004,14.655991000000002,0.05369600000000001,0.0014065536000000016,102.08256603989999,1397.2600006400007,5458.447775990001,1406622.4373799101,20488401590000.0,3.773525777600074e-14,248.7964,140.0404,324.3348229239001,324.3348229239001,8560.3817526119,2.874351,47057595.89555442,1.0443927907096844,101.01692400000002,0.233696,0,0.0,1.0,5.8706
42,26.04465075515,1.8019366,616.536692,1216.9033,889.5558169999999,1489.9033,33.263286,5.0083307999999995,8.190599999999998,139.658,1232.0885999999998,24.8475012902556,151.6186,2.631173e-05,1.6553295,1.3933681900000001e-05,238.09999999999997,2.295964,42.513600000000004,16.07972,41.98494,1.9675999999999998,1.2846410000000001,8.38431,706.3256400000001,1999.2119300000002,7792.75976,21801080.0,6.434059999999154e-08,147.80919999999998,140.7432,327.826233,327.826233,519.209491,198.3269,8.0444463,0.0034610199999999995,12.501899999999997,7.4384,418.1482482615992,0.9215191883804399,23270.17268281714,169359.44674911,23258.37767493251,169359.44674911,43.703965602204,0.15191490497136007,2.9870636399999997,1493.725836,582915.55415004,0.1889254991966028,1205.19733404,4.61876194071e-11,0.8922805735297499,1.82114807251239e-12,4480.14,0.34241623070399996,139.21101504,17.2617087216,163.0434491964,0.15375024000000004,0.013389931119000007,391.66739682390005,5456.335158590401,2908659.9053606754,3256609.8594887424,32170798833600.0,9.528640391640345e-15,163.70719536000001,127.59245376,331.351502499711,331.351502499711,15010.664644550923,128.51583639,472.6769787223163,6.71454925596e-05,70.26279639,3.0542054400000005,300,25.0,3.75,17.4
540,26.2377246,1.9359671999999999,647.2361999999999,1093.2222000000002,920.2407,1366.2222000000002,33.137397,5.0294418,8.714379999999998,128.49929999999998,996.8652,24.8246014188,158.0895,2.490026e-05,1.7692324000000001,1.3861068499999999e-05,267.2746,2.4974030000000003,45.7451,17.8339,47.0125,2.0049,1.319857,0.245,742.03384,1457.70457,7588.569369999999,22713180.0,4.844839999999064e-08,145.30689999999998,140.66519999999997,319.477706,319.477706,520.4725340000001,194.0,0.9023013,0.00028941,12.9712,8.299999999999999,147.0148903389548,1.0993850693241598,5101.1581365600005,16484.57902716,5099.109435510001,16484.57902716,10.239124454391,0.039842070812759985,0.6691242155999998,122.96079951,15004.430628959999,0.06247607961893257,147.37248975,1.6426719323999996e-12,0.97090170039024,7.815732188077498e-13,2144.08859484,0.0013696655910000002,18.199725989999997,20.177510790000003,118.08234374999999,0.004875989999999999,0.003394849550999997,12.189975,942.9190748543996,2789.8792001150982,585774.4328768031,3326410287600.0,3.2496561374400923e-15,32.32471239,22.007508959999996,92.78770889756396,92.78770889756396,27.48933549884404,0.0,132.62848284591828,6.2853678519e-06,46.722370559999995,2.9099999999999997,0,0.0,3.75,13.0614
