,AW,D,MP,BP,AMP,ABP,S,H,HF,HV,Cs,Cm,K,TE,D.1,MV,H2,H1,M1,M2,M3,VEC,P,Eea,I1,I2,I3,C,R,Rm,Rc,A1,A2,A3,SGN,NCS,NMA,AN,SEN,∆AW,∆D,∆MP,∆BP,∆AMP,∆ABP,∆S,∆H,∆HF,∆HV,∆Cs,∆Cm,∆K,∆TE,∆D.1,∆MV,∆H2,∆H1,∆M1,∆M2,∆M3,∆VEC,∆P,∆Eea,∆I1,∆I2,∆I3,∆C,∆R,∆Rm,∆Rc,∆A1,∆A2,∆A3,∆SGN,∆NCS,∆NMA,∆AN,∆SEN,T_ex ,Ra_ex,R_ex,UTS
878,26.903337999999998,2.0716659999999996,638.5817999999999,1085.658,911.5908,1358.658,33.22026,5.038603999999999,8.6436,128.364,980.596,24.826818744,157.32599999999996,2.50858e-05,1.8915920000000002,1.3694434e-05,269.90000000000003,2.5049999999999994,46.49,18.592,48.824,2.004,1.33044,0.08220000000000001,747.6268,1467.2946,7487.688599999999,22598800.0,4.5651999999991216e-08,144.942,139.92799999999997,317.67752,317.67752,519.48324,193.99999999999997,0.125462,0.00012811999999999999,13.136000000000001,8.604,103.43428225975597,1.6851262984439996,5960.659962760001,24022.009036,5956.718299360002,24022.009036,4.594247732400001,0.024974223183999986,0.40874904,413.3355039999999,23513.892784,0.01930215259423035,126.38772399999999,2.3975383599999994e-12,1.4325482335360002,1.3141487296439996e-12,1592.4299999999998,0.012475,35.3299,38.537536,224.48502399999998,0.007984,0.006519006399999994,3.37166316,1628.0915617599985,4581.689830839997,913252.8514500399,2847758560000.0,2.93522896000047e-16,7.978636,22.822815999999996,167.2545894495999,167.2545894495999,39.34936630240011,8.077935669463161e-28,0.06064992055600001,1.19864656e-08,19.717503999999995,5.643184,450,25.0,3.71,315.0
617,27.37465,1.9152799999999999,660.9553,1131.37,933.9567999999999,1404.37,33.4682,5.08683,8.712499999999997,131.45,998.0799999999999,25.0558414,156.61999999999998,2.4546e-05,1.75018,1.405411e-05,266.32,2.5525999999999995,45.11,17.36,45.83,2.02,1.3112,1.0,736.5010000000001,1447.9120000000003,7578.849,22495400.0,6.92699999999904e-08,146.73,141.91,321.2487,321.2487,521.9596,194.0,980.0721100000001,0.1461025,13.22,8.12,360.93626562749995,1.0200392216,9202.525610910001,91935.4131,9201.801557760002,91935.4131,25.271390759999992,0.3346229210999999,0.051868750000000026,615.4875000000001,15681.753599999998,3.286713893282041,448.59560000000005,4.970284e-12,0.8975032876000001,9.287750978999997e-13,1343.0976,0.13557123999999998,7.2179,7.1304,41.00110000000001,0.0196,0.0013965599999999994,49.0,699.6090990000002,2366.7044560000004,787978.5364989999,9988836840000.0,3.091439710000049e-14,151.97709999999998,63.2819,65.95024131000002,65.95024131000002,71.5869518399999,0.0,47059458.675150074,1.0444540722187503,55.8316,1.0056,0,0.0,3.71,299.0
728,28.5736184,2.13897,646.4118,1124.27,919.4208000000001,1397.27,33.7182,5.07728,8.614,132.20000000000002,966.58,24.8638205232,154.68,2.4796999999999997e-05,1.9593800000000001,1.382298e-05,273.92,2.525,46.23,18.62,48.86,2.03,1.3276000000000001,0.796,744.4120000000001,1460.942,7383.353999999999,22212000.0,5.67199999999914e-08,145.89000000000001,140.98,318.52160000000003,318.52160000000003,520.7950000000001,194.0,0.14276,0.000133,13.810000000000002,8.62,258.86279695223743,1.9099908691000003,11066.91007476,103214.1571,11062.82747136,103214.1571,20.562590760000003,0.11933942159999998,0.27725399999999994,1115.1,33180.4236,0.08820891693153518,494.1976,7.188490999999999e-12,1.6678565356000001,2.2046480796000003e-12,2499.3536,0.061875000000000006,41.4371,38.83559999999999,228.06039999999996,0.0491,0.007068239999999995,33.127984000000005,2265.452255999999,7025.256835999999,1455864.4074839999,10699056000000.0,6.921821600000237e-15,60.637899999999995,85.3596,208.0831274399999,208.0831274399999,129.47084299999995,0.0,0.0758550624,1.3583000000000003e-08,44.6139,5.635599999999999,0,25.0,3.71,298.3
615,27.37465,1.9152799999999999,660.9553,1131.37,933.9567999999999,1404.37,33.4682,5.08683,8.712499999999997,131.45,998.0799999999999,25.0558414,156.61999999999998,2.4546e-05,1.75018,1.405411e-05,266.32,2.5525999999999995,45.11,17.36,45.83,2.02,1.3112,1.0,736.5010000000001,1447.9120000000003,7578.849,22495400.0,6.92699999999904e-08,146.73,141.91,321.2487,321.2487,521.9596,194.0,980.0721100000001,0.1461025,13.22,8.12,360.93626562749995,1.0200392216,9202.525610910001,91935.4131,9201.801557760002,91935.4131,25.271390759999992,0.3346229210999999,0.051868750000000026,615.4875000000001,15681.753599999998,3.286713893282041,448.59560000000005,4.970284e-12,0.8975032876000001,9.287750978999997e-13,1343.0976,0.13557123999999998,7.2179,7.1304,41.00110000000001,0.0196,0.0013965599999999994,49.0,699.6090990000002,2366.7044560000004,787978.5364989999,9988836840000.0,3.091439710000049e-14,151.97709999999998,63.2819,65.95024131000002,65.95024131000002,71.5869518399999,0.0,47059458.675150074,1.0444540722187503,55.8316,1.0056,0,0.0,3.71,298.0
399,30.367150000000002,2.04628,646.9164999999999,1207.64,919.9240000000001,1480.64,33.3509,5.02452,9.431,140.90000000000003,959.2500000000001,24.7724315,152.64999999999998,2.417e-05,1.88984,1.4444790000000002e-05,255.49,2.51,46.77,17.092000000000002,44.71,2.14,1.3471000000000002,8.1376,733.457,1443.553,7331.299,21539080.0,5.0881399999999906e-06,145.8,141.38,330.9965,344.24600000000004,526.3734000000001,192.63,0.11565,0.000115,14.459999999999999,8.5,489.32709112750007,1.4802452015999996,20726.118272749998,167695.31040000002,20719.894544000002,167695.31040000002,17.38359019,0.12066418959999999,34.06493900000002,2214.63,40839.8875,0.5618866616027501,692.9275,9.9577e-12,1.3996612344000006,7.5909463059e-12,5378.6899,0.38989999999999997,65.8371,5.7977360000000004,18.0659,0.2604,0.029302589999999993,866.9291842399999,780.3510510000004,3331.7650909999993,1649573.9276989999,22784333073600.0,1.2441935361004002e-09,132.0,76.3756,2539.9574327500004,5536.033743999999,327.29938043999937,179.57310000000004,0.0388079875,3.6750000000000002e-09,79.7484,4.75,0,0.0,3.71,147.0
888,27.260227776999997,2.10875528,640.4117481799999,1092.927434,913.3813230799999,1365.887303,33.27343561,5.042299483999999,8.6666934,129.43192599999998,975.618352,24.827308499995997,156.772014,2.5059854999999997e-05,1.925354836,1.3669729935999999e-05,271.551312,2.5108775,46.588545,18.751825,49.168819,2.008702,1.33189743,0.18486780000000003,748.0684555,1467.9598741,7454.424184299998,22515724.2,4.665536999999134e-08,145.058945,139.902791,317.3797456,317.3797456,519.2664656000001,193.971482,0.130635119,0.00013162187999999999,13.288887999999998,8.65488,120.5560499886379,1.8530270561079754,9878.043808332244,51706.32295690514,9873.76479652441,51706.33746208519,5.004947071641885,0.02734580138264077,0.7974048039464683,922.0959782807179,26364.855154996498,0.02137525004456587,177.68298112088243,3.458313138079709e-12,1.5718550245224703,1.410160350492529e-12,2044.7778181664646,0.027986167638209082,38.008837381768096,41.814646421072894,241.55838594924637,0.017911147288453815,0.006993811297081125,7.56388545263595,1774.5901469197374,5009.162166442896,1044003.4755303265,4006904427605.542,6.433817218013396e-16,17.313424150871587,27.399993143669317,179.5221425174638,179.5221425174638,42.269020634399496,0.000813156772379868,0.06507224721931137,1.3512517830329274e-08,22.82515232544734,6.058120864271284,0,0.0,3.71,227.0
382,27.290315219999997,1.9338199999999999,640.4379,1140.215,913.4423999999999,1413.215,33.00955,5.02087,8.6715,133.32,993.2049999999999,24.82779021538,156.4485,2.4700500000000002e-05,1.7680099999999999,1.4018502500000002e-05,253.41,2.4875,45.765,17.545,45.915,2.07,1.3307,3.219,736.725,1449.8245000000002,7566.585499999999,22471100.0,5.375999999999035e-08,145.07999999999998,140.92999999999998,323.70905,331.65875,524.79385,192.525,0.14589500000000002,0.000144,13.205,8.325,263.148930710766,1.0573491675999998,6928.12199059,70776.97877499998,6924.446074240001,70776.97877499998,3.8062972975,0.016896303099999982,0.18713774999999994,801.3376000000001,20089.702974999997,0.03843719384942362,362.83329775000004,2.7334975000000005e-13,0.9381951798999999,3.711116787437502e-13,1287.4819,0.09109375,32.609775,52.777975,116.95777500000001,0.1351,0.012534509999999995,335.03673899999995,26.534475000000057,61.62424975000018,761205.42603975,8020886790000.0,1.2141102400000186e-14,1.2736,0.1351,1618.8267175975002,3574.4704069374984,787.0287626774995,84.739375,0.8785267339750003,3.3456400000000006e-07,42.712975,3.019375,300,64.0,3.71,242.8
930,24.72099776815,1.818210004,645.216973,1129.1488200000001,917.092567,1401.0180540000003,32.48935786,4.969607584000001,8.713589599999999,132.63882400000003,1005.4387599999999,24.6817135584476,161.30978,2.46997484e-05,1.655024972,1.3747986172e-05,260.04058,2.49762,46.06501,17.489686,46.27261,2.023616,1.31771398,1.35575,731.3054166000001,1459.3339006,7500.6102966,23320234.0,4.340105199999057e-08,143.50661,139.57847800000002,321.71886052,321.71886052,514.93993964,194.18535200000002,0.07905055400000001,0.0010581208,12.171196,8.071864,17.686132129689234,0.32831338178988956,563.9024279390259,63600.26751958357,570.6202832184889,63612.11789207327,1.468269845305616,0.011617497291350696,0.145571394495081,842.8013951848533,4533.328281005382,0.019036065086863018,192.77883584944834,4.0887499751892054e-13,0.27499386128519687,7.249266135252323e-13,249.6804436156179,0.002037351938055201,35.68244122392498,9.372152901363856,59.51135211310948,0.030948704598581244,0.003941335621311423,55.77370370100512,1115.5275369729593,4933.143624699137,914103.5890883845,7391510599423.28,1.2556189547776069e-17,22.903978962987328,16.18180560437694,253.59055436400755,253.59055436400755,426.17497568459424,30.32352387838667,0.011946220497349808,2.7598453738110695e-05,3.3874522835883365,1.0400516034083178,0,0.0,3.71,199.0
410,27.735695799999995,1.895583,676.97,1189.064,949.97,1462.0639999999999,33.53253,5.065662,8.779799999999998,139.082,988.688,24.860239418399996,154.083,2.41239e-05,1.7369059999999998,1.4206547e-05,271.18,2.565,44.545,17.231,45.347,2.062,1.30547,1.5886,731.3109,1438.1912999999997,7497.802299999999,22128400.0,6.661599999999041e-08,147.306,143.12900000000002,322.44546,322.44546,523.25012,193.99999999999997,0.09612099999999998,0.00011481,13.397999999999998,8.046999999999999,299.7474280829744,0.629037907111,23660.8491,235274.88990399992,23660.8491,235274.88990399998,25.451046899099996,0.15119573775599998,1.2007719600000002,3112.353276,23032.382656,0.12201249272892777,819.5981109999999,1.089829879e-11,0.5942717511639999,1.3732199217910005e-12,3285.8476,0.158275,8.197975,3.2376389999999997,11.818591000000001,0.100156,0.0006853791,62.634810040000005,1015.5231111900007,3913.424514310001,1290933.4982247099,17773673440000.0,1.2325332544000434e-14,130.788364,109.958359,61.421889788400016,61.421889788400016,140.6461095855997,8.077935669463161e-28,0.032938160359000004,6.6457639e-09,49.069596000000004,0.056791,0,0.0,0.5,190.0
105,25.5655559315,1.8063634,664.59212,1196.7741999999998,937.1902699999999,1469.3647,32.801427000000004,5.0005277999999995,8.811402,139.65200000000002,992.8194,24.766733224668,163.39839999999998,2.4451760000000003e-05,1.6425054,1.4197040800000002e-05,259.2332,2.51065,45.5823,17.22002,45.606300000000005,2.0582,1.3125589999999998,2.5447859999999998,722.31549,1454.72027,7318.354969999999,23705060.0,4.8063199999990626e-08,145.64709999999997,141.38129999999998,332.75508,332.75508,516.106714,196.2758,0.09565950000000001,0.001638334,12.5628,7.9982,49.16084099636841,0.1195270828411507,8763.23802735646,149180.86828568153,8764.142399953093,149182.50596150086,4.877420873816508,0.037610138809300725,0.26383546658759405,1918.950874344,10158.640042115461,0.04683585822370777,533.13712175616,2.3073240517535997e-12,0.10150738918729625,5.596649400320064e-12,1383.87923978664,0.08463153236625001,73.68720760006501,7.8281855663994,54.982198410465,0.057458479140000004,0.007711984826278503,94.7485497305253,1994.8867224189917,10509.53042820379,1697003.5705789134,16657583591994.602,2.824728498968725e-15,158.617744982385,83.53830232546501,2028.0943061948906,2028.0943061948906,743.6993752683877,73.05924986154,0.019789702449839627,4.3228794537000666e-05,9.184520244240002,0.010239955140000007,0,0.0,3.0,162.3
